date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2023_06_29,FALSE,channel1,pool_337_344_1,atac,atac,nuclei,channel1,pbmc,7-8,SI-NA-A11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs/fastq_path/223YKWLT3/pool_337_344_1_atac,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,pooling experiment
2023_06_29,FALSE,channel1,pool_337_344_2,atac,atac,nuclei,channel1,pbmc,7-8,SI-NA-B11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs/fastq_path/223YKWLT3/pool_337_344_2_atac,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,pooling experiment
2020_05_05,FALSE,channel1,FF04678253,atac,atac,nuclei,channel1,pbmc,*,SI-NA-G9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,H7TCMDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0719_BH7TCMDRX2_arcfastqs/fastq_path/H7TCMDRX2/FF04678253_atac,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2020_05_05,FALSE,channel1,FF04679349,atac,atac,nuclei,channel1,pbmc,*,SI-NA-H9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,H7TCMDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0719_BH7TCMDRX2_arcfastqs/fastq_path/H7TCMDRX2/FF04679349_atac,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2020_05_05,FALSE,channel1,FF05494381,atac,atac,nuclei,channel1,pbmc,*,SI-NA-F9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,H7TCMDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0719_BH7TCMDRX2_arcfastqs/fastq_path/H7TCMDRX2/FF05494381_atac,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2020_05_05,FALSE,channel1,FF06998314,atac,atac,nuclei,channel1,pbmc,*,SI-NA-E9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,H7TCMDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/220511_SL-NVL_0719_BH7TCMDRX2_arcfastqs/fastq_path/H7TCMDRX2/FF06998314_atac,400,200,20,,,,,,TRUE,batch1,NovaSeq6000,S4,,bcl_convert,
2023_02_26,FALSE,channel1,FF06997053,atac,atac,nuclei,channel1,pbmc,*,SI-NA-H4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCN33DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0580_AHCN33DSX5_arcfastqs/fastq_path/HCN33DSX5/FF06997053_atac,400,200,20,,,,,,TRUE,batch2,NovaSeq6000,S4,,bcl_convert,
2023_06_29,FALSE,channel1,FF04678566,atac,atac,nuclei,channel1,pbmc,1-6,SI-NA-F8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs/fastq_path/223YKWLT3/FF04678566_atac,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_29,FALSE,channel1,FF04679689,atac,atac,nuclei,channel1,pbmc,1-6,SI-NA-F1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs/fastq_path/223YKWLT3/FF04679689_atac,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
2023_06_29,FALSE,channel1,FF06996577,atac,atac,nuclei,channel1,pbmc,1-6,SI-NA-F4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs/fastq_path/223YKWLT3/FF06996577_atac,400,200,20,,,,,,TRUE,batch3,NovaseqX,10B,,bcl_convert,
